year_month,year,difference_pp,relative_lift,weighted_common_support_rows,exposed_rows,valid_strata
2020-01,2020,66.91385295045755,6.409438775510204,384,39,18
2020-02,2020,52.21238938053098,5.3302752293578,380,56,19
2020-03,2020,42.03102961918194,3.5042016806722684,198,43,9
2020-04,2020,56.447249774571674,3.062602965403624,156,33,9
2020-05,2020,50.81628823419029,3.50508788159112,178,32,9
2020-06,2020,6.7368421052631575,1.256,132,29,6
2020-07,2020,33.99122807017544,2.4090909090909087,138,26,6
2020-08,2020,24.803149606299225,1.812903225806452,147,39,7
2020-09,2020,42.370129870129865,2.962406015037594,154,40,7
2020-10,2020,54.11487018095988,3.9070160608622153,260,39,13
2020-11,2020,27.243880326382598,2.5215189873417723,312,43,16
2020-12,2020,76.44859813084112,9.702127659574469,391,55,17
2021-01,2021,70.22391615054788,5.328928046989722,272,22,14
2021-02,2021,58.64825581395349,5.409836065573768,336,41,18
2021-03,2021,33.00653594771242,2.2023809523809526,161,36,7
2021-04,2021,53.9363484087102,3.7521367521367512,198,35,9
2021-05,2021,34.77443609022556,2.7289719626168223,147,36,7
2021-06,2021,16.179775280898873,1.6371681415929202,132,27,6
2021-07,2021,45.86894586894588,3.3000000000000007,110,21,5
2021-08,2021,32.60073260073259,2.3383458646616537,154,32,7
2021-09,2021,8.557123350022755,1.276470588235294,162,35,8
2021-10,2021,59.017301038062286,5.6347826086956525,230,46,12
2021-11,2021,5.661140315406393,1.2464788732394367,360,32,17
2021-12,2021,60.87570621468925,6.13095238095238,276,38,12
2022-01,2022,76.05948933929983,7.642528735632186,377,43,19
2022-02,2022,73.96176664469347,14.046511627906975,292,48,20
2022-03,2022,-14.417177914110429,0.40880503144654085,184,37,8
2022-04,2022,60.47297297297296,4.377358490566038,147,41,7
2022-05,2022,49.31773879142301,3.2389380530973457,132,31,6
2022-06,2022,7.15883668903804,1.223776223776224,132,29,6
2022-07,2022,41.20603015075378,2.42608695652174,147,23,7
2022-08,2022,-8.846153846153848,0.7371428571428571,161,29,7
2022-09,2022,3.6974789915966424,1.1111111111111112,176,37,8
2022-10,2022,50.95634399182363,3.9576271186440684,220,45,11
2022-11,2022,75.25641025641025,7.670454545454543,390,40,19
2022-12,2022,31.001076426264806,2.763779527559055,317,40,15
2023-01,2023,75.40777917189459,8.240963855421683,330,43,15
2023-02,2023,50.520416333066464,3.3901515151515156,188,42,10
2023-03,2023,61.81326928850195,4.637809187279152,300,45,15
2023-04,2023,48.8235294117647,3.5736434108527124,260,43,14
2023-05,2023,40.382299819385906,2.7034920634920634,331,45,17
2023-06,2023,50.73761854583771,3.255269320843091,148,28,8
2023-07,2023,46.723646723646716,3.062893081761006,189,52,9
2023-08,2023,46.619217081850536,2.782312925170068,138,33,6
2023-09,2023,44.775280898876396,2.4232142857142858,186,38,10
2023-10,2023,51.139240506329116,3.3124579124579134,216,45,11
2023-11,2023,62.65466816647919,6.626262626262626,418,47,19
2023-12,2023,66.80308699719365,7.950121654501215,395,47,23
2024-01,2024,50.53078556263269,4.869918699186992,391,48,17
2024-02,2024,48.251650049150406,4.226291079812206,418,50,23
2024-03,2024,49.84520123839009,2.6597938144329896,189,44,9
2024-04,2024,46.38069705093832,3.2763157894736836,198,48,9
2024-05,2024,36.793422404933196,2.468416735028712,215,34,10
2024-06,2024,33.19057815845824,1.8659217877094971,140,35,7
2024-07,2024,30.412371134020628,1.9365079365079367,161,36,7
2024-08,2024,27.494908350305508,1.7068062827225132,132,33,6
2024-09,2024,48.22154471544715,3.2018561484918795,279,38,15
2024-10,2024,39.76683937823834,2.668478260869565,276,44,12
2024-11,2024,56.612903225806434,4.441176470588235,273,35,13
2024-12,2024,59.17654398003742,5.747747747747747,427,46,20
