period,exposure,control,rows,exposed_rows,unexposed_rows,exposed_price_event_rows,unexposed_price_event_rows,exposed_event_rate,unexposed_event_rate,event_rate_difference_pp,relative_lift,valid_strata,weighted_common_support_rows
overall,high_residual_load,uncontrolled,43848,4409,39439,2918,1492,0.6618280789294625,0.03783057379751008,62.399750513195244,17.494529225803667,,
overall,high_residual_load,year_month_x_delivery_hour,43848,4409,39439,2918,1492,0.6468880977523673,0.10149492598203216,54.53931717703352,6.373600369607512,823.0,25034.0
2020,high_residual_load,year_month_x_delivery_hour,8784,883,7901,592,291,0.6601593807613867,0.08615117179481933,57.40082089665673,7.66280210713379,174.0,5306.0
2021,high_residual_load,year_month_x_delivery_hour,8760,881,7879,555,326,0.6170456203598446,0.10399530228753344,51.30503180723112,5.933398978482643,156.0,4739.0
2022,high_residual_load,year_month_x_delivery_hour,8760,881,7879,518,364,0.5884564462091171,0.10528918797951815,48.316725822959896,5.588954169953226,155.0,4700.0
2023,high_residual_load,year_month_x_delivery_hour,8760,881,7879,645,236,0.7093085014259485,0.0921012827766167,61.72072186493318,7.701396549994986,175.0,5324.0
2024,high_residual_load,year_month_x_delivery_hour,8784,883,7901,608,275,0.6563708454778764,0.12076611412869716,53.56047313491792,5.435058089046401,163.0,4965.0
overall,low_renewable_share,uncontrolled,43848,4409,39439,1514,2896,0.3433885234747108,0.07342985369811608,26.995866977659478,4.6764157380245575,,
overall,low_renewable_share,year_month_x_delivery_hour,43848,4409,39439,1514,2896,0.3364652772536615,0.08838030889579368,24.80849683578678,3.807016307788386,1011.0,30750.0
2020,low_renewable_share,year_month_x_delivery_hour,8784,883,7901,302,581,0.3385315790781693,0.07625358340693877,26.22779956712305,4.439549775274748,205.0,6246.0
2021,low_renewable_share,year_month_x_delivery_hour,8760,881,7879,257,624,0.2848149630994345,0.07560083738972154,20.921412570971295,3.7673519624024308,200.0,6064.0
2022,low_renewable_share,year_month_x_delivery_hour,8760,881,7879,255,627,0.28699109875186796,0.09263246344521826,19.43586353066497,3.0981697784771867,200.0,6078.0
2023,low_renewable_share,year_month_x_delivery_hour,8760,881,7879,364,517,0.40302946844553783,0.09253865261694558,31.049081582859227,4.355255420822234,204.0,6210.0
2024,low_renewable_share,year_month_x_delivery_hour,8784,883,7901,336,547,0.36820256236862986,0.10485652143924275,26.33460409293871,3.511489388687935,202.0,6152.0
overall,high_abs_residual_ramp,uncontrolled,43848,4409,39439,495,3915,0.11227035608981628,0.09926722279976673,1.3003133290049553,1.130991206596747,,
overall,high_abs_residual_ramp,year_month_x_delivery_hour,43848,4409,39439,495,3915,0.1032863491678882,0.11777750421342824,-1.4491155045540036,0.8769616053395038,661.0,20125.0
2020,high_abs_residual_ramp,year_month_x_delivery_hour,8784,883,7901,102,781,0.10336949055312099,0.11855890159158386,-1.5189411038462872,0.8718829979482441,132.0,4028.0
2021,high_abs_residual_ramp,year_month_x_delivery_hour,8760,881,7879,75,806,0.07713118320518997,0.10745435493338067,-3.0323171728190697,0.7178041620836084,135.0,4108.0
2022,high_abs_residual_ramp,year_month_x_delivery_hour,8760,881,7879,120,762,0.12600431596968664,0.13341419540986763,-0.7409879440180983,0.9444595875467616,129.0,3918.0
2023,high_abs_residual_ramp,year_month_x_delivery_hour,8760,881,7879,101,780,0.1041026163174476,0.11718535405264167,-1.308273773519407,0.888358593606185,139.0,4230.0
2024,high_abs_residual_ramp,year_month_x_delivery_hour,8784,883,7901,97,786,0.10603660491697728,0.1123835513356025,-0.6346946418625223,0.9435242404854086,126.0,3841.0
overall,composite_fundamental_stress,uncontrolled,43848,2317,41531,1547,2863,0.6676737160120846,0.0689364571043317,59.87372589077529,9.685350017358674,,
overall,composite_fundamental_stress,year_month_x_delivery_hour,43848,2317,41531,1547,2863,0.6626008031280637,0.15448443378094584,50.81163693471178,4.289110474830177,632.0,19209.0
2020,composite_fundamental_stress,year_month_x_delivery_hour,8784,474,8310,313,570,0.6577972238371378,0.13647817967539583,52.131904416174194,4.819797753763013,126.0,3835.0
2021,composite_fundamental_stress,year_month_x_delivery_hour,8760,401,8359,245,636,0.6087296012680399,0.1486987671154659,46.00308341525739,4.093709807259908,114.0,3448.0
2022,composite_fundamental_stress,year_month_x_delivery_hour,8760,443,8317,267,615,0.6052646539861609,0.15009017390741444,45.51744800787465,4.03267341378076,121.0,3674.0
2023,composite_fundamental_stress,year_month_x_delivery_hour,8760,508,8252,379,502,0.7391981110957841,0.15459197434095298,58.46061367548312,4.7816072874875175,133.0,4051.0
2024,composite_fundamental_stress,year_month_x_delivery_hour,8784,491,8293,343,540,0.684216610757987,0.18053937607325926,50.36772346847278,3.7898469887275206,138.0,4201.0
