scenario,price_high_q,fundamental_high_q,fundamental_low_q,exposure,control,high_price_exposed_rate,high_price_unexposed_rate,high_price_difference_pp,high_price_relative_lift,low_price_exposed_rate,low_price_unexposed_rate,low_price_difference_pp,price_difference_eur_per_mwh,valid_strata,weighted_common_support_rows,exposed_rows,unexposed_rows
base_p90,0.9,0.9,0.1,high_residual_load,year_month_x_delivery_hour,0.6468880977523673,0.10149492598203216,54.53931717703352,6.373600369607512,0.0,0.04994661865222989,-4.994661865222989,59.130374277125526,823,25034,4409,39438
base_p90,0.9,0.9,0.1,low_renewable_share,year_month_x_delivery_hour,0.3364661778425734,0.08838054545609157,24.80856323864818,3.8070163077883863,0.00022305147384335143,0.07431230561962493,-7.408925414578158,43.959958104446045,1011,30749,4409,39438
base_p90,0.9,0.9,0.1,high_abs_residual_ramp,year_month_x_delivery_hour,0.1032865207805889,0.1177776999035242,-1.4491179122935294,0.8769616053395038,0.04077797426771478,0.09873940556728061,-5.796143129956583,7.720387727117938,661,20124,4409,39438
base_p90,0.9,0.9,0.1,high_residual_and_low_renewable,year_month_x_delivery_hour,0.7042583364379903,0.1626579890377285,54.16003474002618,4.3296879581773124,0.0,0.03624141298449719,-3.6241412984497194,61.47783264906403,586,17797,1966,41881
base_p90,0.9,0.9,0.1,composite_fundamental_stress,year_month_x_delivery_hour,0.6626008031280637,0.15448443378094584,50.81163693471178,4.289110474830177,0.0,0.03931383628409471,-3.931383628409471,58.856850935635094,632,19209,2317,41530
base_p90,0.9,0.9,0.1,high_residual_load,year_month_x_delivery_hour_x_weekend,0.6399662825657902,0.1304796408876915,50.94866416780987,4.904721366581872,0.0,0.02269973689490478,-2.269973689490478,50.9303949345917,874,18320,4409,39438
base_p90,0.9,0.9,0.1,low_renewable_share,year_month_x_delivery_hour_x_weekend,0.33527012518489396,0.09939170361806964,23.58784215668243,3.373220429677202,0.0002118263988336688,0.06612791969763178,-6.591609329879811,41.92183470363372,1580,26804,4409,39438
base_p90,0.9,0.9,0.1,high_abs_residual_ramp,year_month_x_delivery_hour_x_weekend,0.10505066559635395,0.13980436795166992,-3.4753702355315967,0.7514118988948167,0.043047816892232825,0.0691381926964842,-2.609037580425138,-0.1636059934554197,883,15744,4409,39438
base_p90,0.9,0.9,0.1,high_residual_and_low_renewable,year_month_x_delivery_hour_x_weekend,0.703231267606674,0.2083196808623667,49.49115867443072,3.3757313024653057,0.0,0.016220476228732607,-1.6220476228732608,54.44369823001509,635,13110,1966,41881
base_p90,0.9,0.9,0.1,composite_fundamental_stress,year_month_x_delivery_hour_x_weekend,0.6613137556833848,0.19804938936328825,46.32643663200965,3.3391355449741686,0.0,0.018688321445565065,-1.8688321445565066,51.62472072790527,696,14241,2317,41530
price_p85,0.85,0.9,0.1,high_residual_load,year_month_x_delivery_hour,0.7994520685042741,0.19192839967091185,60.75236688333623,4.165366198410692,0.0,0.04994661865222989,-4.994661865222989,59.130374277125526,823,25034,4409,39438
price_p85,0.85,0.9,0.1,low_renewable_share,year_month_x_delivery_hour,0.4278188926115742,0.1433291727524822,28.4489719859092,2.9848696144390825,0.00022305147384335143,0.07431230561962493,-7.408925414578158,43.959958104446045,1011,30749,4409,39438
price_p85,0.85,0.9,0.1,high_abs_residual_ramp,year_month_x_delivery_hour,0.17059968898571046,0.18005394823705903,-0.9454259251348573,0.9474920747702733,0.04077797426771478,0.09873940556728061,-5.796143129956583,7.720387727117938,661,20124,4409,39438
price_p85,0.85,0.9,0.1,high_residual_and_low_renewable,year_month_x_delivery_hour,0.8303511037641021,0.26283861691283933,56.751248685126285,3.159167071859373,0.0,0.03624141298449719,-3.6241412984497194,61.47783264906403,586,17797,1966,41881
price_p85,0.85,0.9,0.1,composite_fundamental_stress,year_month_x_delivery_hour,0.7980244979987222,0.2509478555868288,54.707664241189335,3.180041113053477,0.0,0.03931383628409471,-3.931383628409471,58.856850935635094,632,19209,2317,41530
price_p85,0.85,0.9,0.1,high_residual_load,year_month_x_delivery_hour_x_weekend,0.7951031530267975,0.23895560340817393,55.61475496186235,3.327409534182949,0.0,0.02269973689490478,-2.269973689490478,50.9303949345917,874,18320,4409,39438
price_p85,0.85,0.9,0.1,low_renewable_share,year_month_x_delivery_hour_x_weekend,0.42698612411270337,0.15876332269164886,26.82228014210545,2.6894506670284204,0.0002118263988336688,0.06612791969763178,-6.591609329879811,41.92183470363372,1580,26804,4409,39438
price_p85,0.85,0.9,0.1,high_abs_residual_ramp,year_month_x_delivery_hour_x_weekend,0.17153981509158092,0.2163527722979974,-4.481295720641648,0.7928708898414644,0.043047816892232825,0.0691381926964842,-2.609037580425138,-0.1636059934554197,883,15744,4409,39438
price_p85,0.85,0.9,0.1,high_residual_and_low_renewable,year_month_x_delivery_hour_x_weekend,0.829835308301104,0.32329705235223516,50.65382559488688,2.566788970896619,0.0,0.016220476228732607,-1.6220476228732608,54.44369823001509,635,13110,1966,41881
price_p85,0.85,0.9,0.1,composite_fundamental_stress,year_month_x_delivery_hour_x_weekend,0.7971067837496574,0.3093563769176749,48.77504068319824,2.5766618800354686,0.0,0.018688321445565065,-1.8688321445565066,51.62472072790527,696,14241,2317,41530
price_p95,0.95,0.9,0.1,high_residual_load,year_month_x_delivery_hour,0.38928638561085677,0.029375205775931924,35.99111798349248,13.252209655321359,0.0,0.04994661865222989,-4.994661865222989,59.130374277125526,823,25034,4409,39438
price_p95,0.95,0.9,0.1,low_renewable_share,year_month_x_delivery_hour,0.22201477674150832,0.036262042873440495,18.575273386806785,6.122511561645061,0.00022305147384335143,0.07431230561962493,-7.408925414578158,43.959958104446045,1011,30749,4409,39438
price_p95,0.95,0.9,0.1,high_abs_residual_ramp,year_month_x_delivery_hour,0.045961232006774266,0.057505303186180835,-1.154407117940657,0.7992520595529921,0.04077797426771478,0.09873940556728061,-5.796143129956583,7.720387727117938,661,20124,4409,39438
price_p95,0.95,0.9,0.1,high_residual_and_low_renewable,year_month_x_delivery_hour,0.4820617863181973,0.0665736783395911,41.54881079786062,7.24102675924273,0.0,0.03624141298449719,-3.6241412984497194,61.47783264906403,586,17797,1966,41881
price_p95,0.95,0.9,0.1,composite_fundamental_stress,year_month_x_delivery_hour,0.44104505358485496,0.06371045329987002,37.73346002849849,6.92264818002409,0.0,0.03931383628409471,-3.931383628409471,58.856850935635094,632,19209,2317,41530
price_p95,0.95,0.9,0.1,high_residual_load,year_month_x_delivery_hour_x_weekend,0.3794146989856053,0.041145613807423286,33.826908517818204,9.221267199011944,0.0,0.02269973689490478,-2.269973689490478,50.9303949345917,874,18320,4409,39438
price_p95,0.95,0.9,0.1,low_renewable_share,year_month_x_delivery_hour_x_weekend,0.22113737779084128,0.041592671700582916,17.954470609025837,5.316738953024315,0.0002118263988336688,0.06612791969763178,-6.591609329879811,41.92183470363372,1580,26804,4409,39438
