period_type,period,rows,exposed_rows,high_price_exposed_rate,high_price_unexposed_rate,high_price_difference_pp,high_price_relative_lift,valid_strata,weighted_common_support_rows
year,2020,8783,474,0.6577972238371378,0.13647817967539583,52.131904416174194,4.819797753763013,126,3835
year,2021,8760,401,0.6087296012680399,0.1486987671154659,46.00308341525739,4.093709807259908,114,3448
year,2022,8760,443,0.6052646539861609,0.15009017390741444,45.51744800787465,4.03267341378076,121,3674
year,2023,8760,508,0.7391981110957841,0.15459197434095298,58.46061367548312,4.7816072874875175,133,4051
year,2024,8784,491,0.684216610757987,0.18053937607325926,50.36772346847278,3.7898469887275206,138,4201
year_month,2020-01,743,39,0.7928832116788322,0.09854014598540141,69.43430656934308,8.046296296296301,16,496
year_month,2020-02,696,56,0.6491477272727272,0.08806818181818181,56.10795454545454,7.370967741935484,19,551
year_month,2020-03,743,43,0.5939781021897811,0.13229927007299272,46.16788321167884,4.4896551724137925,9,279
year_month,2020-04,720,33,0.8395378690629013,0.2682926829268293,57.1245186136072,3.1291866028708135,6,180
year_month,2020-05,744,32,0.7109004739336494,0.1599526066350711,55.09478672985784,4.444444444444445,8,248
year_month,2020-06,720,29,0.33521923620933525,0.17680339462517683,15.841584158415841,1.896,6,180
year_month,2020-07,744,26,0.5798192771084337,0.16566265060240962,41.415662650602414,3.5000000000000004,6,186
year_month,2020-08,744,39,0.5467706013363028,0.17260579064587972,37.41648106904231,3.1677419354838707,7,217
year_month,2020-09,720,40,0.6431623931623931,0.1420940170940171,50.10683760683761,4.526315789473684,7,210
year_month,2020-10,745,39,0.7323135755258127,0.13957934990439771,59.2734225621415,5.2465753424657535,11,341
year_month,2020-11,720,43,0.45776566757493176,0.14986376021798362,30.79019073569481,3.0545454545454542,14,420
year_month,2020-12,744,55,0.852980132450331,0.06225165562913904,79.0728476821192,13.702127659574472,17,527
year_month,2021-01,744,22,0.864353312302839,0.1230283911671924,74.13249211356465,7.025641025641026,12,372
year_month,2021-02,672,41,0.7117117117117115,0.11211211211211211,59.95995995995994,6.348214285714285,16,448
year_month,2021-03,743,36,0.6155555555555555,0.1955555555555555,42.00000000000001,3.1477272727272734,7,217
year_month,2021-04,720,35,0.7377423033067275,0.1493728620296465,58.8369441277081,4.9389312977099245,9,270
year_month,2021-05,744,36,0.5627802690582959,0.12892376681614348,43.38565022421525,4.365217391304348,7,217
year_month,2021-06,720,27,0.41301059001512863,0.17095310136157335,24.205748865355527,2.4159292035398234,6,180
year_month,2021-07,744,21,0.6611111111111111,0.16296296296296298,49.81481481481481,4.056818181818182,5,155
year_month,2021-08,744,32,0.5671462829736211,0.1594724220623501,40.7673860911271,3.5563909774436095,7,217
year_month,2021-09,720,35,0.40781440781440775,0.2576312576312576,15.018315018315015,1.5829383886255923,7,210
year_month,2021-10,745,46,0.7166962699822381,0.11456483126110127,60.21314387211368,6.255813953488372,10,310
year_month,2021-11,720,32,0.2848970251716247,0.16247139588100687,12.242562929061782,1.7535211267605633,16,480
year_month,2021-12,744,38,0.7302371541501975,0.08300395256916997,64.72332015810277,8.797619047619046,12,372
year_month,2022-01,744,43,0.878813559322034,0.07881355932203388,80.0,11.150537634408606,17,527
year_month,2022-02,672,48,0.7961608775137112,0.07404021937842781,72.21206581352834,10.753086419753085,13,364
year_month,2022-03,743,37,0.10232067510548522,0.20569620253164558,-10.337552742616037,0.49743589743589733,8,248
year_month,2022-04,720,41,0.7825182101977107,0.11862643080124871,66.3891779396462,6.596491228070175,7,210
year_month,2022-05,744,31,0.712121212121212,0.15404040404040406,55.808080808080796,4.62295081967213,6,186
year_month,2022-06,720,29,0.38733431516936667,0.23122238586156113,15.611192930780554,1.6751592356687894,6,180
year_month,2022-07,744,23,0.6990445859872612,0.22770700636942673,47.13375796178344,3.0699300699300704,7,217
year_month,2022-08,744,29,0.24601063829787234,0.2699468085106383,-2.393617021276595,0.9113300492610837,7,217
