local_hour,rows,mean_risk_score,max_risk_score,high_risk_rows,high_risk_share,version
0,30,3.8333333333333335,25,0,0.0,7B.1
1,30,4.166666666666667,25,0,0.0,7B.1
2,30,3.3333333333333335,25,0,0.0,7B.1
3,30,3.3333333333333335,25,0,0.0,7B.1
4,30,4.166666666666667,25,0,0.0,7B.1
5,30,6.5,55,0,0.0,7B.1
6,30,13.0,70,1,0.03333333333333333,7B.1
7,30,14.333333333333334,45,0,0.0,7B.1
8,30,12.833333333333334,45,0,0.0,7B.1
9,30,13.833333333333334,30,0,0.0,7B.1
10,30,8.333333333333334,30,0,0.0,7B.1
11,30,0.0,0,0,0.0,7B.1
12,30,0.0,0,0,0.0,7B.1
13,30,0.0,0,0,0.0,7B.1
14,30,0.0,0,0,0.0,7B.1
15,30,0.0,0,0,0.0,7B.1
16,30,0.6666666666666666,20,0,0.0,7B.1
17,30,10.333333333333334,30,0,0.0,7B.1
18,30,16.666666666666668,30,0,0.0,7B.1
19,30,21.666666666666668,85,4,0.13333333333333333,7B.1
20,30,17.0,55,0,0.0,7B.1
21,30,16.5,55,0,0.0,7B.1
22,30,15.5,55,0,0.0,7B.1
23,30,11.666666666666666,70,2,0.06666666666666667,7B.1
